longitude,latitude,ID,sample,plant,colector,SITE,ITV_ID,longitude_random,latitude_random
-50.371631,-6.399486,ITV20304,Isoc_M1,NA,CFC/JTFG,centro,ITV20304,-50.371591,-6.3991471
-50.371631,-6.399486,ITV20305,Isoc_M2,NA,CFC/JTFG,centro,ITV20305,-50.371546,-6.3982135
-50.371631,-6.399486,ITV20306,Isoc_M3,NA,CFC/JTFG,centro,ITV20306,-50.371563,-6.398261
-50.371631,-6.399486,ITV20307,Isoc_M4,NA,CFC/JTFG,centro,ITV20307,-50.371592,-6.3991468
-50.371631,-6.399486,ITV20308,Isoc_M2.5,NA,CFC/JTFG,centro,ITV20308,-50.371602,-6.3984426
-50.371631,-6.399486,ITV20309,Isoc_M2.6,NA,CFC/JTFG,centro,ITV20309,-50.37165,-6.3988855
-50.371492,-6.397025,ITV20310,Isoec_Regua,NA,CFC/JTFG,N,ITV20310,-50.371814,-6.3969261
-50.372369,-6.399306,ITV20311,Isoc_1,NA,CFC/JTFG,O,ITV20311,-50.372302,-6.3992498
-50.372369,-6.399306,ITV20312,Isoc_3,NA,CFC/JTFG,O,ITV20312,-50.372344,-6.3987141
-50.372369,-6.399306,ITV20313,Isoc_4,NA,CFC/JTFG,O,ITV20313,-50.372304,-6.3982853
-50.372369,-6.399306,ITV20314,Isoc_5,NA,CFC/JTFG,O,ITV20314,-50.372394,-6.3992179
-50.370808,-6.399464,ITV20316,Isoc_8,NA,CFC/JTFG,L,ITV20316,-50.370878,-6.399299
-50.371492,-6.397025,ITV20317,Isoc_10,NA,CFC/JTFG,N,ITV20317,-50.371243,-6.3970792
-50.371631,-6.399486,ITV20318,Isoc_11,NA,CFC/JTFG,centro,ITV20318,-50.371647,-6.3985661
-50.371631,-6.399486,ITV20319,Isoc_65,NA,ITV_propag,centro,ITV20319,-50.371675,-6.399005
-50.371631,-6.399486,ITV20320,Isoc_66,NA,ITV_propag,centro,ITV20320,-50.371522,-6.3992842
-50.371631,-6.399486,ITV20321,Isoc_67,NA,ITV_propag,centro,ITV20321,-50.371566,-6.3993235
-50.371631,-6.399486,ITV20322,Isoc_33,NA,ITV_propag,centro,ITV20322,-50.371475,-6.3994615
-50.371631,-6.399486,ITV20323,Isoc_38.1,NA,ITV_propag,centro,ITV20323,-50.371732,-6.3985697
-50.371631,-6.399486,ITV20324,Isoc_38.2,NA,ITV_propag,centro,ITV20324,-50.371565,-6.3989264
-50.372369,-6.399306,ITV20331,campo O*,1,Mariana,O,ITV20331,-50.372236,-6.3990924
-50.372369,-6.399306,ITV20332,campo O*,2,Mariana,O,ITV20332,-50.37233,-6.3985913
-50.372369,-6.399306,ITV20333,campo O,1,Mariana,O,ITV20333,-50.372363,-6.398979
-50.372369,-6.399306,ITV20334,campo O,2,Mariana,O,ITV20334,-50.372314,-6.399759
-50.371492,-6.397025,ITV20335,campo N*,1,Mariana,N,ITV20335,-50.371484,-6.3970247
-50.371492,-6.397025,ITV20336,campo N*,2,Mariana,N,ITV20336,-50.371721,-6.3968665
-50.371492,-6.397025,ITV20337,campo N,1,Mariana,N,ITV20337,-50.371104,-6.3970108
-50.371492,-6.397025,ITV20338,campo N,2,Mariana,N,ITV20338,-50.372327,-6.3970392
-50.370808,-6.399464,ITV20339,campo L,1,Mariana,L,ITV20339,-50.37068,-6.3984346
-50.370808,-6.399464,ITV20340,campo L,2,Mariana,L,ITV20340,-50.370876,-6.3984477
-50.370808,-6.399464,ITV20341,campo L,3,Mariana,L,ITV20341,-50.370995,-6.3998711
-50.370808,-6.399464,ITV20342,campo L,4,Mariana,L,ITV20342,-50.37078,-6.3983221
-50.371925,-6.401772,ITV20343,campo S,1,Mariana,S,ITV20343,-50.371113,-6.401804
-50.371925,-6.401772,ITV20344,campo S,2,Mariana,S,ITV20344,-50.371482,-6.4016611
-50.371925,-6.401772,ITV20345,campo S,3,Mariana,S,ITV20345,-50.371155,-6.4016024
-50.371925,-6.401772,ITV20346,campo S,4,Mariana,S,ITV20346,-50.371531,-6.4020348
-50.371492,-6.397025,ITV20347,ITV Norte,NA,Nupem/RJ,N,ITV20347,-50.371202,-6.3970461
-50.371492,-6.397025,ITV20348,ITV Norte,NA,Nupem/RJ,N,ITV20348,-50.370949,-6.3971513
-50.371492,-6.397025,ITV20349,ITV Norte,NA,Nupem/RJ,N,ITV20349,-50.371369,-6.3966706
-50.371492,-6.397025,ITV20350,ITV Norte,NA,Nupem/RJ,N,ITV20350,-50.370983,-6.3969962
-50.371492,-6.397025,ITV20351,ITV Norte,NA,Nupem/RJ,N,ITV20351,-50.371417,-6.396637
-50.371492,-6.397025,ITV20352,ITV Norte,NA,Nupem/RJ,N,ITV20352,-50.37108,-6.3968879
-50.371492,-6.397025,ITV20353,ITV Norte,NA,Nupem/RJ,N,ITV20353,-50.371071,-6.3971161
-50.371925,-6.401772,ITV20354,ITV Sul,NA,Nupem/RJ,S,ITV20354,-50.371561,-6.4014085
-50.371925,-6.401772,ITV20355,ITV Sul,NA,Nupem/RJ,S,ITV20355,-50.371752,-6.4019816
-50.371925,-6.401772,ITV20356,ITV Sul,NA,Nupem/RJ,S,ITV20356,-50.371594,-6.4015898
-50.371925,-6.401772,ITV20357,ITV Sul,NA,Nupem/RJ,S,ITV20357,-50.372717,-6.4012184
-50.371925,-6.401772,ITV20358,ITV Sul,NA,Nupem/RJ,S,ITV20358,-50.373053,-6.4013098
-50.371925,-6.401772,ITV20359,ITV Sul,NA,Nupem/RJ,S,ITV20359,-50.371936,-6.4021166
-50.370808,-6.399464,ITV20360,ITV Leste,NA,Nupem/RJ,L,ITV20360,-50.37061,-6.3987359
-50.370808,-6.399464,ITV20361,ITV Leste,NA,Nupem/RJ,L,ITV20361,-50.370569,-6.3991464
-50.370808,-6.399464,ITV20362,ITV Leste,NA,Nupem/RJ,L,ITV20362,-50.370857,-6.3995177
-50.370808,-6.399464,ITV20363,ITV Leste,NA,Nupem/RJ,L,ITV20363,-50.370723,-6.399155
-50.370808,-6.399464,ITV20364,ITV Leste,NA,Nupem/RJ,L,ITV20364,-50.370608,-6.39852
-50.370808,-6.399464,ITV20365,ITV Leste,NA,Nupem/RJ,L,ITV20365,-50.370939,-6.3997428
,,ITV20315,Isoc_7,NA,CFC/JTFG,,,,
